"","nc","delta1","delta2","pow","ess"
"187",54,0.1,0.2,1,21.134333893978
"188",54,0.12,0,1,49.9972908923164
"189",54,0.12,0.02,1,49.9967469767653
"190",54,0.12,0.04,1,49.9042281443513
"191",54,0.12,0.06,1,49.4401461506805
"192",54,0.12,0.08,1,48.1961180771631
"193",54,0.12,0.1,1,45.7841353269138
"194",54,0.12,0.12,1,42.0342065654887
"195",54,0.12,0.14,1,37.1437908539651
"196",54,0.12,0.16,1,31.6373059225664
"197",54,0.12,0.18,1,26.1388392351641
"198",54,0.12,0.2,1,21.134333893978
"199",54,0.14,0,1,49.9972908923164
"200",54,0.14,0.02,1,49.9967469767653
"201",54,0.14,0.04,1,49.9042281443513
"202",54,0.14,0.06,1,49.4401461506805
"203",54,0.14,0.08,1,48.1961180771631
"204",54,0.14,0.1,1,45.7841353269138
"205",54,0.14,0.12,1,42.0342065654887
"206",54,0.14,0.14,1,37.1437908539651
"207",54,0.14,0.16,1,31.6373059225664
"208",54,0.14,0.18,1,26.1388392351641
"209",54,0.14,0.2,1,21.134333893978
"210",54,0.16,0,1,49.9972908923164
"211",54,0.16,0.02,1,49.9967469767653
"212",54,0.16,0.04,1,49.9042281443513
"213",54,0.16,0.06,1,49.4401461506805
"214",54,0.16,0.08,1,48.1961180771631
"215",54,0.16,0.1,1,45.7841353269138
"216",54,0.16,0.12,1,42.0342065654887
"217",54,0.16,0.14,1,37.1437908539651
"218",54,0.16,0.16,1,31.6373059225664
"219",54,0.16,0.18,1,26.1388392351641
"220",54,0.16,0.2,1,21.134333893978
